"kategorie nieliczbowe";"campaign";"contact";"default";"education";"job";"marital";"month";"pdays";"poutcome";"previous";"Rok";"przedzial_czas rozmowy";"przedzial_wiek";"przedzial_emp.var.rate";"przedzial_cons.price.idx";"przedzial_cons.conf.idx";"przedzial_euribor3m";"przedzial_nr.employed";"y"
"unemployed";1.0;"cellular";"no";"basic.4y";"unemployed";"divorced";"mar";999.0;"failure";1.0;2011;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"services";3.0;"cellular";"no";"high.school";"services";"divorced";"oct";999.0;"failure";2.0;2011;"0-1229.5";"'(44-57.5]'";;"'(94.339333-inf)'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"cellular";"no";"professional.course";"admin.";"divorced";"sep";999.0;"failure";1.0;2011;"0-1229.5";"'(57.5-71]'";;"'(93.911667-94.339333]'";"'(-38.85--34.866667]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"entrepreneur";2.0;"cellular";"no";"university.degree";"entrepreneur";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"cellular";"no";"basic.9y";"blue-collar";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"management";2.0;"cellular";"no";"university.degree";"management";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";4.0;"cellular";"no";"basic.9y";"blue-collar";"married";"nov";999.0;"failure";1.0;2008;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-42.833333--38.85]'";"'(3.574667-inf)'";"'(5161.975-inf)'";"yes"
"blue-collar";1.0;"cellular";"no";"basic.6y";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"yes"
"services";1.0;"cellular";"no";"basic.9y";"services";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"blue-collar";2.0;"cellular";"no";"high.school";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"yes"
"services";1.0;"cellular";"no";"high.school";"services";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"high.school";"admin.";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"cellular";"no";"high.school";"admin.";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"cellular";"no";"professional.course";"technician";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";6.0;"cellular";"no";"professional.course";"technician";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"unemployed";3.0;"cellular";"no";"professional.course";"unemployed";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"blue-collar";1.0;"cellular";"no";"professional.course";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"yes"
"entrepreneur";1.0;"cellular";"no";"professional.course";"entrepreneur";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"yes"
"technician";1.0;"cellular";"no";"professional.course";"technician";"married";"nov";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";7.0;"cellular";"no";"university.degree";"admin.";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";4.0;"cellular";"no";"university.degree";"admin.";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"yes"
"entrepreneur";1.0;"cellular";"no";"university.degree";"entrepreneur";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"management";2.0;"cellular";"no";"university.degree";"management";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";1.0;"cellular";"no";"basic.4y";"retired";"married";"nov";9.0;"failure";3.0;2009;"0-1229.5";"'(57.5-71]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";2.0;"cellular";"no";"basic.6y";"blue-collar";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";4.0;"cellular";"no";"basic.6y";"blue-collar";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"retired";1.0;"cellular";"no";"basic.9y";"retired";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(71-84.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"blue-collar";1.0;"cellular";"no";"basic.9y";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";1.0;"cellular";"no";"basic.9y";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";1.0;"cellular";"no";"basic.9y";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"entrepreneur";4.0;"cellular";"no";"basic.9y";"entrepreneur";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"unemployed";1.0;"cellular";"no";"high.school";"unemployed";"married";"nov";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";1.0;"cellular";"no";"high.school";"admin.";"married";"aug";6.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"technician";1.0;"cellular";"no";"professional.course";"technician";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";1.0;"cellular";"no";"professional.course";"technician";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";3.0;"cellular";"no";"professional.course";"admin.";"married";"may";9.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";3.0;"cellular";"no";"university.degree";"admin.";"married";"may";999.0;"failure";1.0;2009;"'(1229.5-2459]'";"'(57.5-71]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"self-employed";2.0;"cellular";"no";"university.degree";"self-employed";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";3.0;"cellular";"no";"university.degree";"technician";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";1.0;"cellular";"no";"basic.4y";"retired";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"retired";1.0;"cellular";"no";"basic.4y";"retired";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";2.0;"cellular";"no";"basic.9y";"blue-collar";"married";"apr";999.0;"failure";1.0;2009;"'(1229.5-2459]'";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";;"'(5095.85-5161.975]'";"yes"
"self-employed";3.0;"cellular";"no";"basic.9y";"self-employed";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";3.0;"cellular";"no";"basic.9y";"blue-collar";"married";"apr";999.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"retired";1.0;"cellular";"no";"high.school";"retired";"married";"aug";999.0;"failure";1.0;2009;"'(1229.5-2459]'";"'(71-84.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"services";2.0;"cellular";"no";"high.school";"services";"married";"apr";999.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"professional.course";"admin.";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";1.0;"cellular";"no";"professional.course";"technician";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"retired";3.0;"cellular";"no";"professional.course";"retired";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(71-84.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"technician";2.0;"cellular";"no";"professional.course";"technician";"married";"jul";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";2.0;"cellular";"no";"university.degree";"technician";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";;"'(5029.725-5095.85]'";"yes"
"unemployed";2.0;"cellular";"no";"university.degree";"unemployed";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"management";3.0;"cellular";"no";"university.degree";"management";"married";"oct";999.0;"failure";2.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"self-employed";1.0;"cellular";"no";"university.degree";"self-employed";"married";"nov";6.0;"failure";3.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"blue-collar";1.0;"cellular";"no";"unknown";"blue-collar";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";;"'(5095.85-5161.975]'";"yes"
"entrepreneur";2.0;"cellular";"no";"basic.4y";"entrepreneur";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"blue-collar";1.0;"cellular";"no";"basic.4y";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"management";1.0;"cellular";"no";"basic.6y";"management";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"management";3.0;"cellular";"no";"basic.9y";"management";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";1.0;"cellular";"no";"high.school";"admin.";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";2.0;"cellular";"no";"high.school";"admin.";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";10.0;"cellular";"no";"high.school";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";5.0;"cellular";"no";"professional.course";"technician";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"technician";4.0;"cellular";"no";"professional.course";"technician";"married";"jun";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"self-employed";1.0;"cellular";"no";"university.degree";"self-employed";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";2.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"jun";3.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-42.833333--38.85]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"nov";999.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";2.0;"cellular";"no";"university.degree";"admin.";"married";"sep";6.0;"failure";2.0;2009;"0-1229.5";"0-30.5";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";4.0;"cellular";"no";"basic.4y";"retired";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"retired";1.0;"cellular";"no";"basic.4y";"retired";"married";"nov";999.0;"failure";1.0;2009;"0-1229.5";"'(71-84.5]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"retired";1.0;"cellular";"no";"basic.4y";"retired";"married";"apr";999.0;"failure";2.0;2009;"0-1229.5";"'(57.5-71]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"retired";1.0;"cellular";"no";"basic.4y";"retired";"married";"nov";999.0;"failure";2.0;2009;"0-1229.5";"'(57.5-71]'";;"'(92.628667-93.056333]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";2.0;"cellular";"no";"basic.6y";"admin.";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";3.0;"cellular";"no";"basic.9y";"blue-collar";"married";"apr";999.0;"failure";2.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"admin.";2.0;"cellular";"no";"high.school";"admin.";"married";"apr";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(93.056333-93.484]'";"'(-inf--46.816667]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"blue-collar";1.0;"cellular";"no";"high.school";"blue-collar";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"services";1.0;"cellular";"no";"high.school";"services";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"services";1.0;"cellular";"no";"high.school";"services";"married";"may";999.0;"failure";1.0;2009;"'(1229.5-2459]'";"'(30.5-44]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"retired";2.0;"cellular";"no";"university.degree";"retired";"married";"aug";999.0;"failure";1.0;2009;"0-1229.5";"'(71-84.5]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"entrepreneur";4.0;"cellular";"no";"university.degree";"entrepreneur";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";"'(-inf-2.104333]'";"'(5095.85-5161.975]'";"yes"
"management";4.0;"cellular";"no";"university.degree";"management";"married";"may";999.0;"failure";1.0;2009;"0-1229.5";"0-30.5";;"'(92.628667-93.056333]'";"'(-46.816667--42.833333]'";;"'(5095.85-5161.975]'";"yes"
"admin.";1.0;"cellular";"no";"university.degree";"admin.";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"management";1.0;"cellular";"no";"university.degree";"management";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"cellular";"no";"university.degree";"technician";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"admin.";2.0;"cellular";"no";"university.degree";"admin.";"married";"aug";999.0;"failure";2.0;2009;"0-1229.5";"'(30.5-44]'";;"'(-inf-92.628667]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(5029.725-5095.85]'";"yes"
"admin.";1.0;"cellular";"no";"unknown";"admin.";"married";"oct";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"unknown";1.0;"cellular";"no";"unknown";"unknown";"married";"sep";999.0;"failure";1.0;2009;"0-1229.5";"'(71-84.5]'";;"'(-inf-92.628667]'";"'(-30.883333-inf)'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"cellular";"no";"high.school";"technician";"married";"dec";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";2.0;"cellular";"no";"unknown";"technician";"married";"dec";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"unknown";1.0;"cellular";"no";"basic.9y";"unknown";"married";"dec";999.0;"failure";1.0;2009;"0-1229.5";"'(57.5-71]'";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
"technician";1.0;"cellular";"no";"high.school";"technician";"married";"dec";999.0;"failure";1.0;2009;"0-1229.5";"'(44-57.5]'";"<21959.5";"'(92.628667-93.056333]'";"'(-34.866667--30.883333]'";"'(-inf-2.104333]'";"'(-inf-5029.725]'";"yes"
