@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute 'data rozmowy' date yyyy-MM-dd
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute 'przedzial_czas rozmowy_supervised' {'\'All\''}
@attribute DzienTygodnia {'\"czw.\"','\"pt.\"','\"sob.\"','\"niedz.\"','\"pon.\"','\"wt.\"','\"?r.\"'}
@attribute 'kwota zakupu' numeric
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
3,118,P01,2013-09-26,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',94,'\'(88.333333-122.5]\''
15,153,P02,2013-09-25,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',117,'\'(88.333333-122.5]\''
4,61,P05,2013-08-09,£ódŸ,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"pt.\"',29,'\'(-inf-54.166667]\''
13,11,P05,2013-08-09,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',213,'\'(190.833333-inf)\''
4,15,P01,2013-09-14,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',58,'\'(54.166667-88.333333]\''
11,112,P02,2013-08-29,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',56,'\'(54.166667-88.333333]\''
11,12,P05,2013-09-28,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',57,'\'(54.166667-88.333333]\''
7,139,P02,2013-09-14,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',156,'\'(122.5-156.666667]\''
5,50,P02,2013-10-21,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',206,'\'(190.833333-inf)\''
14,145,P04,2013-09-19,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',127,'\'(122.5-156.666667]\''
12,138,P03,2013-08-05,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',178,'\'(156.666667-190.833333]\''
1,119,P04,2013-08-10,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"sob.\"',53,'\'(-inf-54.166667]\''
9,35,P01,2013-08-11,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',149,'\'(122.5-156.666667]\''
7,102,P05,2013-10-14,£ódŸ,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"pon.\"',97,'\'(88.333333-122.5]\''
9,82,P02,2013-09-23,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"pon.\"',64,'\'(54.166667-88.333333]\''
7,123,P03,2013-10-29,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',169,'\'(156.666667-190.833333]\''
11,6,P01,2013-08-25,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"niedz.\"',110,'\'(88.333333-122.5]\''
4,121,P04,2013-09-14,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',126,'\'(122.5-156.666667]\''
1,27,P02,2013-09-25,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',35,'\'(-inf-54.166667]\''
5,79,P02,2013-09-08,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',83,'\'(54.166667-88.333333]\''
8,98,P02,2013-10-04,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\'All\'','\"pt.\"',54,'\'(-inf-54.166667]\''
3,158,P01,2013-09-10,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',185,'\'(156.666667-190.833333]\''
14,55,P02,2013-09-10,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',73,'\'(54.166667-88.333333]\''
7,122,P01,2013-08-04,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',184,'\'(156.666667-190.833333]\''
1,80,P01,2013-08-16,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"pt.\"',66,'\'(54.166667-88.333333]\''
10,134,P02,2013-09-24,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',65,'\'(54.166667-88.333333]\''
5,13,P04,2013-08-17,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',47,'\'(-inf-54.166667]\''
14,159,P01,2013-10-04,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',44,'\'(-inf-54.166667]\''
11,172,P03,2013-09-14,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',165,'\'(156.666667-190.833333]\''
8,92,P04,2013-09-23,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',171,'\'(156.666667-190.833333]\''
3,51,P02,2013-10-25,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',71,'\'(54.166667-88.333333]\''
2,109,P04,2013-09-02,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',170,'\'(156.666667-190.833333]\''
15,45,P03,2013-08-09,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',165,'\'(156.666667-190.833333]\''
2,57,P04,2013-08-28,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',195,'\'(190.833333-inf)\''
6,179,P02,2013-09-03,Wroc³aw,Zachód,9,'\'(149.333333-inf)\'','\'All\'','\"wt.\"',78,'\'(54.166667-88.333333]\''
5,153,P02,2013-08-29,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',158,'\'(156.666667-190.833333]\''
11,128,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',65,'\'(54.166667-88.333333]\''
15,71,P05,2013-09-12,£ódŸ,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"czw.\"',194,'\'(190.833333-inf)\''
13,16,P03,2013-08-09,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',200,'\'(190.833333-inf)\''
1,121,P01,2013-08-08,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',191,'\'(190.833333-inf)\''
8,143,P05,2013-08-08,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',156,'\'(122.5-156.666667]\''
14,116,P01,2013-09-01,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',143,'\'(122.5-156.666667]\''
1,136,P05,2013-09-17,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',32,'\'(-inf-54.166667]\''
10,141,P05,2013-10-18,£ódŸ,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',157,'\'(156.666667-190.833333]\''
7,76,P01,2013-09-18,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"?r.\"',111,'\'(88.333333-122.5]\''
7,167,P05,2013-09-13,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',67,'\'(54.166667-88.333333]\''
15,52,P01,2013-10-05,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',205,'\'(190.833333-inf)\''
2,25,P01,2013-08-16,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',80,'\'(54.166667-88.333333]\''
11,104,P04,2013-10-12,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"sob.\"',220,'\'(190.833333-inf)\''
5,50,P03,2013-08-31,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"sob.\"',212,'\'(190.833333-inf)\''
2,99,P02,2013-08-24,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"sob.\"',201,'\'(190.833333-inf)\''
6,51,P03,2013-08-29,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',140,'\'(122.5-156.666667]\''
15,33,P04,2013-08-01,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',118,'\'(88.333333-122.5]\''
11,119,P03,2013-10-11,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'','\"pt.\"',76,'\'(54.166667-88.333333]\''
4,137,P02,2013-08-10,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',142,'\'(122.5-156.666667]\''
13,68,P02,2013-08-01,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"czw.\"',103,'\'(88.333333-122.5]\''
9,80,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',192,'\'(190.833333-inf)\''
5,22,P04,2013-08-09,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',90,'\'(88.333333-122.5]\''
8,99,P03,2013-08-13,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"wt.\"',57,'\'(54.166667-88.333333]\''
15,116,P04,2013-08-19,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',79,'\'(54.166667-88.333333]\''
9,101,P02,2013-10-25,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\'All\'','\"pt.\"',157,'\'(156.666667-190.833333]\''
11,139,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',214,'\'(190.833333-inf)\''
10,3,P05,2013-08-22,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"czw.\"',202,'\'(190.833333-inf)\''
11,132,P03,2013-08-10,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',70,'\'(54.166667-88.333333]\''
8,146,P01,2013-08-08,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',99,'\'(88.333333-122.5]\''
9,134,P02,2013-08-04,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',104,'\'(88.333333-122.5]\''
3,106,P04,2013-08-12,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'','\"pon.\"',190,'\'(156.666667-190.833333]\''
1,170,P05,2013-09-19,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',157,'\'(156.666667-190.833333]\''
10,113,P03,2013-10-13,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',43,'\'(-inf-54.166667]\''
7,158,P04,2013-10-10,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',196,'\'(190.833333-inf)\''
13,79,P05,2013-10-08,£ódŸ,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"wt.\"',197,'\'(190.833333-inf)\''
5,96,P04,2013-10-10,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"czw.\"',172,'\'(156.666667-190.833333]\''
11,6,P03,2013-10-19,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',122,'\'(88.333333-122.5]\''
10,100,P02,2013-08-15,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'','\"czw.\"',116,'\'(88.333333-122.5]\''
2,174,P02,2013-10-04,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',51,'\'(-inf-54.166667]\''
4,159,P03,2013-08-22,Rzeszów,Po³udnie,8,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',137,'\'(122.5-156.666667]\''
11,44,P05,2013-08-12,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',221,'\'(190.833333-inf)\''
15,76,P01,2013-09-05,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'','\"czw.\"',76,'\'(54.166667-88.333333]\''
14,138,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',35,'\'(-inf-54.166667]\''
4,46,P02,2013-09-24,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',110,'\'(88.333333-122.5]\''
9,120,P01,2013-08-27,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',184,'\'(156.666667-190.833333]\''
14,84,P01,2013-10-14,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"pon.\"',193,'\'(190.833333-inf)\''
15,136,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',101,'\'(88.333333-122.5]\''
10,48,P01,2013-08-27,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',80,'\'(54.166667-88.333333]\''
9,56,P05,2013-10-08,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',81,'\'(54.166667-88.333333]\''
4,100,P02,2013-09-08,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',133,'\'(122.5-156.666667]\''
15,149,P02,2013-08-05,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',205,'\'(190.833333-inf)\''
7,123,P04,2013-08-20,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',87,'\'(54.166667-88.333333]\''
4,178,P01,2013-10-02,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"?r.\"',126,'\'(122.5-156.666667]\''
13,116,P03,2013-09-15,Rzeszów,Po³udnie,9,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',69,'\'(54.166667-88.333333]\''
6,21,P02,2013-10-11,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',40,'\'(-inf-54.166667]\''
5,139,P01,2013-10-28,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',224,'\'(190.833333-inf)\''
3,27,P03,2013-08-03,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',60,'\'(54.166667-88.333333]\''
7,134,P03,2013-08-31,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',181,'\'(156.666667-190.833333]\''
6,43,P01,2013-09-16,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',149,'\'(122.5-156.666667]\''
6,42,P02,2013-10-10,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',64,'\'(54.166667-88.333333]\''
14,129,P01,2013-10-17,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',109,'\'(88.333333-122.5]\''
8,176,P05,2013-10-03,£ódŸ,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',113,'\'(88.333333-122.5]\''
14,175,P02,2013-08-17,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',220,'\'(190.833333-inf)\''
2,157,P03,2013-09-12,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',78,'\'(54.166667-88.333333]\''
9,168,P03,2013-10-07,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',99,'\'(88.333333-122.5]\''
4,49,P03,2013-10-25,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'','\"pt.\"',31,'\'(-inf-54.166667]\''
12,58,P02,2013-08-07,Wroc³aw,Zachód,8,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',208,'\'(190.833333-inf)\''
6,166,P01,2013-08-05,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"pon.\"',183,'\'(156.666667-190.833333]\''
15,19,P01,2013-09-14,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'','\"sob.\"',164,'\'(156.666667-190.833333]\''
11,141,P05,2013-09-06,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',26,'\'(-inf-54.166667]\''
1,76,P01,2013-10-27,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',188,'\'(156.666667-190.833333]\''
5,83,P04,2013-08-20,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"wt.\"',54,'\'(-inf-54.166667]\''
9,83,P02,2013-09-01,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',26,'\'(-inf-54.166667]\''
9,13,P03,2013-10-14,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',28,'\'(-inf-54.166667]\''
14,74,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"czw.\"',177,'\'(156.666667-190.833333]\''
12,109,P05,2013-10-05,£ódŸ,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"sob.\"',131,'\'(122.5-156.666667]\''
12,59,P04,2013-08-19,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',123,'\'(122.5-156.666667]\''
4,8,P02,2013-09-16,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',100,'\'(88.333333-122.5]\''
11,175,P03,2013-09-01,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',139,'\'(122.5-156.666667]\''
6,94,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'','\"pon.\"',151,'\'(122.5-156.666667]\''
15,145,P04,2013-09-12,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',162,'\'(156.666667-190.833333]\''
5,161,P04,2013-08-15,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"czw.\"',225,'\'(190.833333-inf)\''
2,46,P05,2013-10-01,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',129,'\'(122.5-156.666667]\''
6,149,P02,2013-08-12,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',118,'\'(88.333333-122.5]\''
11,132,P05,2013-10-18,£ódŸ,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',197,'\'(190.833333-inf)\''
3,4,P01,2013-10-03,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"czw.\"',178,'\'(156.666667-190.833333]\''
1,50,P01,2013-08-22,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',225,'\'(190.833333-inf)\''
11,149,P04,2013-08-30,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',155,'\'(122.5-156.666667]\''
13,143,P04,2013-09-11,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"?r.\"',22,'\'(-inf-54.166667]\''
1,68,P04,2013-08-24,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"sob.\"',112,'\'(88.333333-122.5]\''
4,130,P03,2013-10-08,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"wt.\"',120,'\'(88.333333-122.5]\''
7,98,P04,2013-09-12,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'','\"czw.\"',81,'\'(54.166667-88.333333]\''
2,3,P02,2013-09-24,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',70,'\'(54.166667-88.333333]\''
6,48,P03,2013-10-02,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',191,'\'(190.833333-inf)\''
3,65,P02,2013-10-10,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'','\"czw.\"',177,'\'(156.666667-190.833333]\''
10,136,P01,2013-09-02,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',56,'\'(54.166667-88.333333]\''
6,45,P04,2013-10-23,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'','\"?r.\"',34,'\'(-inf-54.166667]\''
15,27,P02,2013-08-28,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',118,'\'(88.333333-122.5]\''
5,130,P02,2013-09-15,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'','\"niedz.\"',20,'\'(-inf-54.166667]\''
7,82,P05,2013-08-18,£ódŸ,Centrum,8,'\'(60.333333-90]\'','\'All\'','\"niedz.\"',136,'\'(122.5-156.666667]\''
3,157,P05,2013-08-10,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'','\"sob.\"',86,'\'(54.166667-88.333333]\''
11,74,P03,2013-09-24,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'','\"wt.\"',154,'\'(122.5-156.666667]\''
7,141,P03,2013-09-13,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'','\"pt.\"',175,'\'(156.666667-190.833333]\''
8,55,P03,2013-08-08,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',91,'\'(88.333333-122.5]\''
8,139,P04,2013-10-28,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',78,'\'(54.166667-88.333333]\''
12,112,P03,2013-08-20,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"wt.\"',45,'\'(-inf-54.166667]\''
9,70,P02,2013-09-03,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"wt.\"',56,'\'(54.166667-88.333333]\''
4,94,P04,2013-10-05,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"sob.\"',54,'\'(-inf-54.166667]\''
5,98,P01,2013-10-29,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"wt.\"',224,'\'(190.833333-inf)\''
4,74,P03,2013-09-12,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'','\"czw.\"',191,'\'(190.833333-inf)\''
15,123,P04,2013-08-05,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',71,'\'(54.166667-88.333333]\''
10,171,P03,2013-10-25,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'','\"pt.\"',119,'\'(88.333333-122.5]\''
10,5,P03,2013-10-04,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'','\"pt.\"',156,'\'(122.5-156.666667]\''
15,68,P02,2013-09-18,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'','\"?r.\"',68,'\'(54.166667-88.333333]\''
15,22,P04,2013-10-28,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'','\"pon.\"',53,'\'(-inf-54.166667]\''
10,134,P05,2013-08-19,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"pon.\"',90,'\'(88.333333-122.5]\''
4,140,P03,2013-10-17,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'','\"czw.\"',129,'\'(122.5-156.666667]\''
10,64,P01,2013-10-23,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'','\"?r.\"',95,'\'(88.333333-122.5]\''
5,57,P03,2013-09-19,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'','\"czw.\"',185,'\'(156.666667-190.833333]\''
10,39,P03,2013-10-08,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',131,'\'(122.5-156.666667]\''
11,38,P03,2013-10-27,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'','\"niedz.\"',173,'\'(156.666667-190.833333]\''
7,44,P04,2013-09-02,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',40,'\'(-inf-54.166667]\''
6,43,P03,2013-10-22,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'','\"wt.\"',21,'\'(-inf-54.166667]\''
8,8,P02,2013-08-14,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'','\"?r.\"',133,'\'(122.5-156.666667]\''
9,35,P05,2013-08-26,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'','\"pon.\"',188,'\'(156.666667-190.833333]\''
10,30,P01,2013-08-06,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'','\"wt.\"',48,'\'(-inf-54.166667]\''
7,105,P03,2013-08-14,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'','\"?r.\"',203,'\'(190.833333-inf)\''
4,173,P01,2013-10-20,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'','\"niedz.\"',86,'\'(54.166667-88.333333]\''
13,105,P01,2013-10-26,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'','\"sob.\"',57,'\'(54.166667-88.333333]\''
12,148,P04,2013-08-24,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'','\"sob.\"',195,'\'(190.833333-inf)\''
3,99,P03,2013-10-20,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'','\"niedz.\"',121,'\'(88.333333-122.5]\''
