@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute 'data rozmowy' date yyyy-MM-dd
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute 'przedzial_czas rozmowy' {'\'(-inf-30.666667]\'','\'(30.666667-60.333333]\'','\'(60.333333-90]\'','\'(90-119.666667]\'','\'(119.666667-149.333333]\'','\'(149.333333-inf)\''}
@attribute 'przedzial_czas rozmowy_supervised' {'\'All\''}
@attribute 'kwota zakupu' numeric
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
6,51,P03,2013-08-29,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'',140,'\'(122.5-156.666667]\''
15,33,P04,2013-08-01,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',118,'\'(88.333333-122.5]\''
11,119,P03,2013-10-11,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'',76,'\'(54.166667-88.333333]\''
4,137,P02,2013-08-10,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',142,'\'(122.5-156.666667]\''
13,68,P02,2013-08-01,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'',103,'\'(88.333333-122.5]\''
9,80,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'',192,'\'(190.833333-inf)\''
5,22,P04,2013-08-09,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',90,'\'(88.333333-122.5]\''
8,99,P03,2013-08-13,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',57,'\'(54.166667-88.333333]\''
15,116,P04,2013-08-19,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',79,'\'(54.166667-88.333333]\''
9,101,P02,2013-10-25,Wroc³aw,Zachód,10,'\'(90-119.666667]\'','\'All\'',157,'\'(156.666667-190.833333]\''
11,139,P02,2013-08-18,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',214,'\'(190.833333-inf)\''
10,3,P05,2013-08-22,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',202,'\'(190.833333-inf)\''
11,132,P03,2013-08-10,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'',70,'\'(54.166667-88.333333]\''
8,146,P01,2013-08-08,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',99,'\'(88.333333-122.5]\''
9,134,P02,2013-08-04,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',104,'\'(88.333333-122.5]\''
3,106,P04,2013-08-12,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',190,'\'(156.666667-190.833333]\''
1,170,P05,2013-09-19,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'',157,'\'(156.666667-190.833333]\''
10,113,P03,2013-10-13,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'',43,'\'(-inf-54.166667]\''
7,158,P04,2013-10-10,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',196,'\'(190.833333-inf)\''
13,79,P05,2013-10-08,£ódŸ,Centrum,10,'\'(60.333333-90]\'','\'All\'',197,'\'(190.833333-inf)\''
5,96,P04,2013-10-10,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'',172,'\'(156.666667-190.833333]\''
11,6,P03,2013-10-19,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'',122,'\'(88.333333-122.5]\''
10,100,P02,2013-08-15,Wroc³aw,Zachód,8,'\'(90-119.666667]\'','\'All\'',116,'\'(88.333333-122.5]\''
2,174,P02,2013-10-04,Wroc³aw,Zachód,10,'\'(149.333333-inf)\'','\'All\'',51,'\'(-inf-54.166667]\''
4,159,P03,2013-08-22,Rzeszów,Po³udnie,8,'\'(149.333333-inf)\'','\'All\'',137,'\'(122.5-156.666667]\''
11,44,P05,2013-08-12,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',221,'\'(190.833333-inf)\''
15,76,P01,2013-09-05,Warszawa,Centrum,9,'\'(60.333333-90]\'','\'All\'',76,'\'(54.166667-88.333333]\''
14,138,P03,2013-09-16,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',35,'\'(-inf-54.166667]\''
4,46,P02,2013-09-24,Wroc³aw,Zachód,9,'\'(30.666667-60.333333]\'','\'All\'',110,'\'(88.333333-122.5]\''
9,120,P01,2013-08-27,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',184,'\'(156.666667-190.833333]\''
14,84,P01,2013-10-14,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'',193,'\'(190.833333-inf)\''
15,136,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'',101,'\'(88.333333-122.5]\''
10,48,P01,2013-08-27,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',80,'\'(54.166667-88.333333]\''
9,56,P05,2013-10-08,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',81,'\'(54.166667-88.333333]\''
4,100,P02,2013-09-08,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'',133,'\'(122.5-156.666667]\''
15,149,P02,2013-08-05,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',205,'\'(190.833333-inf)\''
7,123,P04,2013-08-20,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',87,'\'(54.166667-88.333333]\''
4,178,P01,2013-10-02,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',126,'\'(122.5-156.666667]\''
13,116,P03,2013-09-15,Rzeszów,Po³udnie,9,'\'(90-119.666667]\'','\'All\'',69,'\'(54.166667-88.333333]\''
6,21,P02,2013-10-11,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'',40,'\'(-inf-54.166667]\''
5,139,P01,2013-10-28,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',224,'\'(190.833333-inf)\''
3,27,P03,2013-08-03,Rzeszów,Po³udnie,8,'\'(-inf-30.666667]\'','\'All\'',60,'\'(54.166667-88.333333]\''
7,134,P03,2013-08-31,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'',181,'\'(156.666667-190.833333]\''
6,43,P01,2013-09-16,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',149,'\'(122.5-156.666667]\''
6,42,P02,2013-10-10,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',64,'\'(54.166667-88.333333]\''
14,129,P01,2013-10-17,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',109,'\'(88.333333-122.5]\''
8,176,P05,2013-10-03,£ódŸ,Centrum,10,'\'(149.333333-inf)\'','\'All\'',113,'\'(88.333333-122.5]\''
14,175,P02,2013-08-17,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'',220,'\'(190.833333-inf)\''
2,157,P03,2013-09-12,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'',78,'\'(54.166667-88.333333]\''
9,168,P03,2013-10-07,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'',99,'\'(88.333333-122.5]\''
4,49,P03,2013-10-25,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',31,'\'(-inf-54.166667]\''
12,58,P02,2013-08-07,Wroc³aw,Zachód,8,'\'(30.666667-60.333333]\'','\'All\'',208,'\'(190.833333-inf)\''
6,166,P01,2013-08-05,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',183,'\'(156.666667-190.833333]\''
15,19,P01,2013-09-14,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',164,'\'(156.666667-190.833333]\''
11,141,P05,2013-09-06,£ódŸ,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',26,'\'(-inf-54.166667]\''
1,76,P01,2013-10-27,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'',188,'\'(156.666667-190.833333]\''
5,83,P04,2013-08-20,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',54,'\'(-inf-54.166667]\''
9,83,P02,2013-09-01,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',26,'\'(-inf-54.166667]\''
9,13,P03,2013-10-14,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'',28,'\'(-inf-54.166667]\''
14,74,P02,2013-09-12,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',177,'\'(156.666667-190.833333]\''
12,109,P05,2013-10-05,£ódŸ,Centrum,10,'\'(90-119.666667]\'','\'All\'',131,'\'(122.5-156.666667]\''
12,59,P04,2013-08-19,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',123,'\'(122.5-156.666667]\''
4,8,P02,2013-09-16,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',100,'\'(88.333333-122.5]\''
11,175,P03,2013-09-01,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'',139,'\'(122.5-156.666667]\''
6,94,P02,2013-09-09,Wroc³aw,Zachód,9,'\'(90-119.666667]\'','\'All\'',151,'\'(122.5-156.666667]\''
15,145,P04,2013-09-12,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',162,'\'(156.666667-190.833333]\''
5,161,P04,2013-08-15,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',225,'\'(190.833333-inf)\''
2,46,P05,2013-10-01,£ódŸ,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',129,'\'(122.5-156.666667]\''
6,149,P02,2013-08-12,Wroc³aw,Zachód,8,'\'(119.666667-149.333333]\'','\'All\'',118,'\'(88.333333-122.5]\''
11,132,P05,2013-10-18,£ódŸ,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',197,'\'(190.833333-inf)\''
3,4,P01,2013-10-03,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',178,'\'(156.666667-190.833333]\''
1,50,P01,2013-08-22,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',225,'\'(190.833333-inf)\''
11,149,P04,2013-08-30,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',155,'\'(122.5-156.666667]\''
13,143,P04,2013-09-11,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',22,'\'(-inf-54.166667]\''
1,68,P04,2013-08-24,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',112,'\'(88.333333-122.5]\''
4,130,P03,2013-10-08,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'',120,'\'(88.333333-122.5]\''
7,98,P04,2013-09-12,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',81,'\'(54.166667-88.333333]\''
2,3,P02,2013-09-24,Wroc³aw,Zachód,9,'\'(-inf-30.666667]\'','\'All\'',70,'\'(54.166667-88.333333]\''
6,48,P03,2013-10-02,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',191,'\'(190.833333-inf)\''
3,65,P02,2013-10-10,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'',177,'\'(156.666667-190.833333]\''
10,136,P01,2013-09-02,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',56,'\'(54.166667-88.333333]\''
6,45,P04,2013-10-23,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',34,'\'(-inf-54.166667]\''
15,27,P02,2013-08-28,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'',118,'\'(88.333333-122.5]\''
5,130,P02,2013-09-15,Wroc³aw,Zachód,9,'\'(119.666667-149.333333]\'','\'All\'',20,'\'(-inf-54.166667]\''
7,82,P05,2013-08-18,£ódŸ,Centrum,8,'\'(60.333333-90]\'','\'All\'',136,'\'(122.5-156.666667]\''
3,157,P05,2013-08-10,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'',86,'\'(54.166667-88.333333]\''
11,74,P03,2013-09-24,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'',154,'\'(122.5-156.666667]\''
7,141,P03,2013-09-13,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',175,'\'(156.666667-190.833333]\''
8,55,P03,2013-08-08,Rzeszów,Po³udnie,8,'\'(30.666667-60.333333]\'','\'All\'',91,'\'(88.333333-122.5]\''
8,139,P04,2013-10-28,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',78,'\'(54.166667-88.333333]\''
12,112,P03,2013-08-20,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',45,'\'(-inf-54.166667]\''
9,70,P02,2013-09-03,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',56,'\'(54.166667-88.333333]\''
4,94,P04,2013-10-05,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'',54,'\'(-inf-54.166667]\''
5,98,P01,2013-10-29,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'',224,'\'(190.833333-inf)\''
4,74,P03,2013-09-12,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'',191,'\'(190.833333-inf)\''
15,123,P04,2013-08-05,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',71,'\'(54.166667-88.333333]\''
10,171,P03,2013-10-25,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'',119,'\'(88.333333-122.5]\''
10,5,P03,2013-10-04,Rzeszów,Po³udnie,10,'\'(-inf-30.666667]\'','\'All\'',156,'\'(122.5-156.666667]\''
15,68,P02,2013-09-18,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',68,'\'(54.166667-88.333333]\''
15,22,P04,2013-10-28,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',53,'\'(-inf-54.166667]\''
10,134,P05,2013-08-19,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',90,'\'(88.333333-122.5]\''
4,140,P03,2013-10-17,Rzeszów,Po³udnie,10,'\'(119.666667-149.333333]\'','\'All\'',129,'\'(122.5-156.666667]\''
10,64,P01,2013-10-23,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'',95,'\'(88.333333-122.5]\''
5,57,P03,2013-09-19,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'',185,'\'(156.666667-190.833333]\''
10,39,P03,2013-10-08,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',131,'\'(122.5-156.666667]\''
11,38,P03,2013-10-27,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',173,'\'(156.666667-190.833333]\''
7,44,P04,2013-09-02,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',40,'\'(-inf-54.166667]\''
6,43,P03,2013-10-22,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',21,'\'(-inf-54.166667]\''
8,8,P02,2013-08-14,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'',133,'\'(122.5-156.666667]\''
9,35,P05,2013-08-26,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',188,'\'(156.666667-190.833333]\''
10,30,P01,2013-08-06,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',48,'\'(-inf-54.166667]\''
7,105,P03,2013-08-14,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',203,'\'(190.833333-inf)\''
4,173,P01,2013-10-20,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',86,'\'(54.166667-88.333333]\''
13,105,P01,2013-10-26,Warszawa,Centrum,10,'\'(90-119.666667]\'','\'All\'',57,'\'(54.166667-88.333333]\''
12,148,P04,2013-08-24,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',195,'\'(190.833333-inf)\''
3,99,P03,2013-10-20,Rzeszów,Po³udnie,10,'\'(90-119.666667]\'','\'All\'',121,'\'(88.333333-122.5]\''
8,37,P03,2013-10-06,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',220,'\'(190.833333-inf)\''
14,49,P02,2013-10-29,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',80,'\'(54.166667-88.333333]\''
6,55,P02,2013-08-30,Wroc³aw,Zachód,8,'\'(30.666667-60.333333]\'','\'All\'',178,'\'(156.666667-190.833333]\''
6,118,P04,2013-08-08,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',32,'\'(-inf-54.166667]\''
15,64,P01,2013-10-25,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'',221,'\'(190.833333-inf)\''
10,10,P04,2013-08-11,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',206,'\'(190.833333-inf)\''
11,55,P01,2013-09-10,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',129,'\'(122.5-156.666667]\''
15,32,P03,2013-09-10,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'',53,'\'(-inf-54.166667]\''
4,94,P01,2013-08-23,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',37,'\'(-inf-54.166667]\''
11,121,P03,2013-09-19,Rzeszów,Po³udnie,9,'\'(119.666667-149.333333]\'','\'All\'',156,'\'(122.5-156.666667]\''
7,24,P01,2013-10-13,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',82,'\'(54.166667-88.333333]\''
5,151,P04,2013-09-18,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',21,'\'(-inf-54.166667]\''
5,171,P03,2013-09-13,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'',177,'\'(156.666667-190.833333]\''
3,146,P03,2013-08-21,Rzeszów,Po³udnie,8,'\'(119.666667-149.333333]\'','\'All\'',181,'\'(156.666667-190.833333]\''
8,42,P01,2013-08-21,Warszawa,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',30,'\'(-inf-54.166667]\''
6,41,P05,2013-08-16,£ódŸ,Centrum,8,'\'(30.666667-60.333333]\'','\'All\'',200,'\'(190.833333-inf)\''
14,163,P05,2013-09-21,£ódŸ,Centrum,9,'\'(149.333333-inf)\'','\'All\'',32,'\'(-inf-54.166667]\''
6,68,P03,2013-08-19,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'',32,'\'(-inf-54.166667]\''
15,154,P04,2013-09-08,Warszawa,Centrum,9,'\'(149.333333-inf)\'','\'All\'',165,'\'(156.666667-190.833333]\''
11,124,P04,2013-08-15,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',208,'\'(190.833333-inf)\''
9,24,P01,2013-08-18,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',191,'\'(190.833333-inf)\''
8,95,P04,2013-08-17,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',62,'\'(54.166667-88.333333]\''
15,139,P04,2013-08-28,Warszawa,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',198,'\'(190.833333-inf)\''
13,15,P04,2013-08-14,Warszawa,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',70,'\'(54.166667-88.333333]\''
3,122,P02,2013-10-30,Wroc³aw,Zachód,10,'\'(119.666667-149.333333]\'','\'All\'',208,'\'(190.833333-inf)\''
9,75,P02,2013-09-14,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',57,'\'(54.166667-88.333333]\''
10,124,P04,2013-10-29,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',80,'\'(54.166667-88.333333]\''
3,60,P04,2013-09-19,Warszawa,Centrum,9,'\'(30.666667-60.333333]\'','\'All\'',126,'\'(122.5-156.666667]\''
3,174,P05,2013-08-13,£ódŸ,Centrum,8,'\'(149.333333-inf)\'','\'All\'',101,'\'(88.333333-122.5]\''
1,24,P02,2013-10-08,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'',49,'\'(-inf-54.166667]\''
7,159,P04,2013-08-08,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',213,'\'(190.833333-inf)\''
15,121,P01,2013-10-03,Warszawa,Centrum,10,'\'(119.666667-149.333333]\'','\'All\'',81,'\'(54.166667-88.333333]\''
9,17,P01,2013-09-21,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',150,'\'(122.5-156.666667]\''
14,13,P01,2013-09-23,Warszawa,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',20,'\'(-inf-54.166667]\''
7,94,P01,2013-09-21,Warszawa,Centrum,9,'\'(90-119.666667]\'','\'All\'',184,'\'(156.666667-190.833333]\''
2,162,P03,2013-10-06,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'',88,'\'(54.166667-88.333333]\''
3,83,P02,2013-10-22,Wroc³aw,Zachód,10,'\'(60.333333-90]\'','\'All\'',59,'\'(54.166667-88.333333]\''
1,174,P04,2013-08-02,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',73,'\'(54.166667-88.333333]\''
12,94,P01,2013-08-22,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',29,'\'(-inf-54.166667]\''
5,64,P03,2013-09-15,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'',173,'\'(156.666667-190.833333]\''
1,157,P03,2013-09-25,Rzeszów,Po³udnie,9,'\'(149.333333-inf)\'','\'All\'',109,'\'(88.333333-122.5]\''
8,20,P02,2013-08-07,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'',170,'\'(156.666667-190.833333]\''
15,90,P01,2013-08-28,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',154,'\'(122.5-156.666667]\''
3,36,P02,2013-10-17,Wroc³aw,Zachód,10,'\'(30.666667-60.333333]\'','\'All\'',60,'\'(54.166667-88.333333]\''
12,165,P01,2013-08-14,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',49,'\'(-inf-54.166667]\''
10,23,P05,2013-09-14,£ódŸ,Centrum,9,'\'(-inf-30.666667]\'','\'All\'',37,'\'(-inf-54.166667]\''
2,115,P01,2013-08-04,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',181,'\'(156.666667-190.833333]\''
8,38,P04,2013-10-09,Warszawa,Centrum,10,'\'(30.666667-60.333333]\'','\'All\'',41,'\'(-inf-54.166667]\''
11,63,P03,2013-09-15,Rzeszów,Po³udnie,9,'\'(60.333333-90]\'','\'All\'',136,'\'(122.5-156.666667]\''
15,62,P03,2013-08-23,Rzeszów,Po³udnie,8,'\'(60.333333-90]\'','\'All\'',209,'\'(190.833333-inf)\''
3,59,P03,2013-09-05,Rzeszów,Po³udnie,9,'\'(30.666667-60.333333]\'','\'All\'',117,'\'(88.333333-122.5]\''
13,139,P01,2013-09-30,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',53,'\'(-inf-54.166667]\''
14,75,P02,2013-09-28,Wroc³aw,Zachód,9,'\'(60.333333-90]\'','\'All\'',187,'\'(156.666667-190.833333]\''
9,29,P05,2013-08-16,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',87,'\'(54.166667-88.333333]\''
13,125,P01,2013-09-06,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',224,'\'(190.833333-inf)\''
12,103,P05,2013-09-30,£ódŸ,Centrum,9,'\'(90-119.666667]\'','\'All\'',74,'\'(54.166667-88.333333]\''
15,70,P04,2013-08-21,Warszawa,Centrum,8,'\'(60.333333-90]\'','\'All\'',97,'\'(88.333333-122.5]\''
2,43,P03,2013-10-07,Rzeszów,Po³udnie,10,'\'(30.666667-60.333333]\'','\'All\'',111,'\'(88.333333-122.5]\''
5,161,P02,2013-08-15,Wroc³aw,Zachód,8,'\'(149.333333-inf)\'','\'All\'',201,'\'(190.833333-inf)\''
1,67,P04,2013-10-26,Warszawa,Centrum,10,'\'(60.333333-90]\'','\'All\'',122,'\'(88.333333-122.5]\''
8,15,P02,2013-08-08,Wroc³aw,Zachód,8,'\'(-inf-30.666667]\'','\'All\'',128,'\'(122.5-156.666667]\''
6,20,P05,2013-08-27,£ódŸ,Centrum,8,'\'(-inf-30.666667]\'','\'All\'',126,'\'(122.5-156.666667]\''
12,152,P01,2013-08-04,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',197,'\'(190.833333-inf)\''
15,20,P02,2013-10-28,Wroc³aw,Zachód,10,'\'(-inf-30.666667]\'','\'All\'',75,'\'(54.166667-88.333333]\''
2,135,P05,2013-08-10,£ódŸ,Centrum,8,'\'(119.666667-149.333333]\'','\'All\'',216,'\'(190.833333-inf)\''
15,103,P04,2013-08-29,Warszawa,Centrum,8,'\'(90-119.666667]\'','\'All\'',155,'\'(122.5-156.666667]\''
11,7,P05,2013-10-20,£ódŸ,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',54,'\'(-inf-54.166667]\''
14,161,P04,2013-10-25,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',47,'\'(-inf-54.166667]\''
2,158,P03,2013-10-02,Rzeszów,Po³udnie,10,'\'(149.333333-inf)\'','\'All\'',46,'\'(-inf-54.166667]\''
14,5,P01,2013-10-16,Warszawa,Centrum,10,'\'(-inf-30.666667]\'','\'All\'',161,'\'(156.666667-190.833333]\''
5,163,P04,2013-08-26,Warszawa,Centrum,8,'\'(149.333333-inf)\'','\'All\'',31,'\'(-inf-54.166667]\''
8,113,P03,2013-08-20,Rzeszów,Po³udnie,8,'\'(90-119.666667]\'','\'All\'',131,'\'(122.5-156.666667]\''
5,85,P02,2013-08-25,Wroc³aw,Zachód,8,'\'(60.333333-90]\'','\'All\'',137,'\'(122.5-156.666667]\''
3,132,P01,2013-09-17,Warszawa,Centrum,9,'\'(119.666667-149.333333]\'','\'All\'',202,'\'(190.833333-inf)\''
4,179,P01,2013-10-16,Warszawa,Centrum,10,'\'(149.333333-inf)\'','\'All\'',136,'\'(122.5-156.666667]\''
