@relation '01_klienci4-weka.filters.unsupervised.attribute.Reorder-R1-2,4-8,3-weka.filters.unsupervised.attribute.Copy-R8-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial-R9-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.InterquartileRange-R2-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Copy-R2-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy-R10-weka.filters.unsupervised.attribute.Copy-R10-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R10-precision6-weka.filters.supervised.attribute.Discretize-R11-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceprzedzial_czas rozmowy_supervised-R11-weka.filters.unsupervised.attribute.Reorder-R1-7,10-11,8,9-weka.filters.unsupervised.attribute.Copy-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceDzienTygodnia-R12-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-FEEE-weka.filters.unsupervised.attribute.ChangeDateFormat-C12-F\"EEE\"-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.Reorder-R1-9,12,10-11-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0'

@attribute 'numer klienta' {6,12,9,3,7,11,2,5,10,1,8,4,15,13,14}
@attribute 'czas rozmowy' numeric
@attribute przedstawiciel {P03,P02,P05,P01,P04}
@attribute Oddzia³ {Rzeszów,Wroc³aw,£ódŸ,Warszawa}
@attribute Region {Po³udnie,Zachód,Centrum}
@attribute miesi¹c {9,10,8}
@attribute przedzial {'\'(-inf-54.166667]\'','\'(54.166667-88.333333]\'','\'(88.333333-122.5]\'','\'(122.5-156.666667]\'','\'(156.666667-190.833333]\'','\'(190.833333-inf)\''}

@data
6,21,P02,Wroc³aw,Zachód,10,'\'(-inf-54.166667]\''
13,147,P02,Wroc³aw,Zachód,10,'\'(54.166667-88.333333]\''
4,168,P02,Wroc³aw,Zachód,10,'\'(122.5-156.666667]\''
10,147,P01,Warszawa,Centrum,9,'\'(190.833333-inf)\''
10,13,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
2,111,P01,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
10,62,P01,Warszawa,Centrum,8,'\'(190.833333-inf)\''
4,15,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
10,48,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
4,119,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
5,134,P05,£ódŸ,Centrum,9,'\'(156.666667-190.833333]\''
11,44,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
1,3,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
11,104,P04,Warszawa,Centrum,10,'\'(190.833333-inf)\''
7,154,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
8,163,P04,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
10,48,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
7,10,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
14,96,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
8,33,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
4,6,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
6,38,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
3,3,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
14,54,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
3,3,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
11,128,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
1,147,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
4,154,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
13,131,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
12,138,P03,Rzeszów,Po³udnie,8,'\'(156.666667-190.833333]\''
7,107,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
9,116,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
10,10,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
15,70,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
8,55,P03,Rzeszów,Po³udnie,8,'\'(190.833333-inf)\''
3,16,P04,Warszawa,Centrum,9,'\'(190.833333-inf)\''
5,36,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
6,42,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
12,16,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
11,137,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
1,119,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
4,67,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
1,14,P01,Warszawa,Centrum,10,'\'(-inf-54.166667]\''
5,111,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
7,84,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
9,130,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
11,73,P03,Rzeszów,Po³udnie,10,'\'(190.833333-inf)\''
12,108,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
5,171,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
15,136,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
5,124,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
7,29,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
11,135,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
10,171,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
11,104,P03,Rzeszów,Po³udnie,9,'\'(88.333333-122.5]\''
6,171,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
2,37,P02,Wroc³aw,Zachód,9,'\'(156.666667-190.833333]\''
5,33,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
8,20,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
4,111,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
7,69,P04,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
7,127,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
14,116,P01,Warszawa,Centrum,9,'\'(122.5-156.666667]\''
4,176,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
11,85,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
8,99,P02,Wroc³aw,Zachód,10,'\'(88.333333-122.5]\''
4,42,P05,£ódŸ,Centrum,8,'\'(54.166667-88.333333]\''
6,163,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
5,41,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
1,30,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
9,82,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
13,91,P03,Rzeszów,Po³udnie,10,'\'(54.166667-88.333333]\''
2,23,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
12,165,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
11,128,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
11,178,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
13,22,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
1,68,P04,Warszawa,Centrum,8,'\'(88.333333-122.5]\''
8,151,P01,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
2,109,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
13,141,P05,£ódŸ,Centrum,10,'\'(190.833333-inf)\''
7,99,P03,Rzeszów,Po³udnie,9,'\'(190.833333-inf)\''
4,137,P01,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
7,133,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
11,145,P03,Rzeszów,Po³udnie,8,'\'(88.333333-122.5]\''
4,49,P03,Rzeszów,Po³udnie,10,'\'(-inf-54.166667]\''
7,148,P01,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
3,106,P04,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
15,75,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
14,54,P01,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
4,173,P01,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
5,37,P05,£ódŸ,Centrum,10,'\'(-inf-54.166667]\''
2,155,P04,Warszawa,Centrum,8,'\'(122.5-156.666667]\''
8,110,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
11,150,P04,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
8,2,P01,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
4,117,P03,Rzeszów,Po³udnie,8,'\'(88.333333-122.5]\''
1,15,P03,Rzeszów,Po³udnie,8,'\'(122.5-156.666667]\''
2,43,P03,Rzeszów,Po³udnie,10,'\'(88.333333-122.5]\''
3,151,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
9,83,P02,Wroc³aw,Zachód,9,'\'(-inf-54.166667]\''
10,127,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
11,163,P02,Wroc³aw,Zachód,10,'\'(156.666667-190.833333]\''
6,118,P04,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
5,92,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
3,8,P03,Rzeszów,Po³udnie,10,'\'(156.666667-190.833333]\''
15,68,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
10,100,P02,Wroc³aw,Zachód,8,'\'(88.333333-122.5]\''
2,9,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
9,66,P05,£ódŸ,Centrum,10,'\'(122.5-156.666667]\''
6,23,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
2,142,P01,Warszawa,Centrum,8,'\'(156.666667-190.833333]\''
6,177,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
3,35,P03,Rzeszów,Po³udnie,10,'\'(122.5-156.666667]\''
4,144,P04,Warszawa,Centrum,10,'\'(54.166667-88.333333]\''
5,122,P04,Warszawa,Centrum,10,'\'(156.666667-190.833333]\''
12,130,P05,£ódŸ,Centrum,8,'\'(88.333333-122.5]\''
8,61,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
8,95,P04,Warszawa,Centrum,8,'\'(54.166667-88.333333]\''
13,179,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
4,54,P05,£ódŸ,Centrum,9,'\'(190.833333-inf)\''
1,79,P01,Warszawa,Centrum,10,'\'(122.5-156.666667]\''
10,60,P05,£ódŸ,Centrum,8,'\'(122.5-156.666667]\''
3,172,P05,£ódŸ,Centrum,9,'\'(122.5-156.666667]\''
8,45,P02,Wroc³aw,Zachód,10,'\'(122.5-156.666667]\''
6,7,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
15,154,P04,Warszawa,Centrum,9,'\'(156.666667-190.833333]\''
2,167,P01,Warszawa,Centrum,10,'\'(190.833333-inf)\''
12,148,P04,Warszawa,Centrum,8,'\'(190.833333-inf)\''
11,124,P03,Rzeszów,Po³udnie,9,'\'(-inf-54.166667]\''
11,23,P01,Warszawa,Centrum,8,'\'(-inf-54.166667]\''
4,115,P02,Wroc³aw,Zachód,9,'\'(88.333333-122.5]\''
5,173,P02,Wroc³aw,Zachód,8,'\'(122.5-156.666667]\''
3,119,P01,Warszawa,Centrum,9,'\'(54.166667-88.333333]\''
6,125,P05,£ódŸ,Centrum,10,'\'(156.666667-190.833333]\''
6,55,P02,Wroc³aw,Zachód,8,'\'(156.666667-190.833333]\''
5,156,P01,Warszawa,Centrum,9,'\'(-inf-54.166667]\''
6,149,P05,£ódŸ,Centrum,9,'\'(54.166667-88.333333]\''
5,171,P03,Rzeszów,Po³udnie,9,'\'(156.666667-190.833333]\''
12,74,P03,Rzeszów,Po³udnie,9,'\'(54.166667-88.333333]\''
2,135,P05,£ódŸ,Centrum,8,'\'(190.833333-inf)\''
7,53,P04,Warszawa,Centrum,10,'\'(88.333333-122.5]\''
11,118,P02,Wroc³aw,Zachód,9,'\'(54.166667-88.333333]\''
